id_articulo;sku;nombre_articulo;descripcion;seccion;categoria;subcategoria;marca;gama;color;eficiencia_energetica;precio_lista;coste_unitario;proveedor;fecha_alta_articulo;activo;garantia_meses;peso_kg
ART000135;COCHOR-00135;Horno multifuncion Balayra Serie 3 60 litros;Horno de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Hornos;Balayra;Alta;Grafito;E;1029.99;629.23;Central Electro Iberica;2024-06-13;Si;24;33.37
ART000136;COCHOR-00136;Horno multifuncion NovaCasa Plus 71 litros;Horno de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Hornos;NovaCasa;Media;Negro;B;499.99;350.26;Atlante Retail Supply;2022-09-27;Si;60;15.47
ART000137;COCHOR-00137;Horno multifuncion NovaCasa Serie 3 71 litros;Horno de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Hornos;NovaCasa;Media;Negro;A;769.99;539.67;Atlante Retail Supply;2025-08-19;Si;36;8.7
ART000142;COCHOR-00142;Horno multifuncion FrioMax Serie 5 60 litros;Horno de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Hornos;FrioMax;Basica;Negro;B;599.99;424.76;Central Electro Iberica;2024-04-25;Si;60;30.47
ART000145;COCHOR-00145;Horno multifuncion CleanBot Serie 5 60 litros;Horno de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Hornos;CleanBot;Alta;Negro;D;499.99;295.0;Hogar Norte Distribucion;2024-09-06;Si;60;30.26
ART000146;COCHOR-00146;Horno multifuncion FrioMax Serie 7 60 litros;Horno de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Hornos;FrioMax;Basica;Crema;E;879.99;587.38;Hogar Norte Distribucion;2025-09-17;Si;48;33.68
ART000151;COCPLA-00151;Placa de induccion Balayra Serie 7 5 zonas;Placas de induccion de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;Balayra;Media;Plata;E;769.99;526.96;Atlante Retail Supply;2024-06-28;Si;24;33.24
ART000153;COCPLA-00153;Placa de induccion EcoWash Smart 3 zonas;Placas de induccion de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;EcoWash;Media;Crema;D;559.99;336.37;Hogar Norte Distribucion;2023-06-23;Si;36;32.26
ART000154;COCPLA-00154;Placa de induccion IberHome Smart 4 zonas;Placas de induccion de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;IberHome;Media;Negro;D;489.99;294.8;Atlante Retail Supply;2023-04-30;Si;36;19.93
ART000156;COCPLA-00156;Placa de induccion NovaCasa Serie 7 3 zonas;Placas de induccion de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;NovaCasa;Basica;Blanco;D;619.99;445.75;Central Electro Iberica;2022-05-14;Si;24;17.68
ART000158;COCPLA-00158;Placa de induccion AquaPlus Smart 4 zonas;Placas de induccion de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;AquaPlus;Alta;Negro;E;469.99;326.68;Atlante Retail Supply;2025-02-18;Si;48;35.08
ART000161;COCPLA-00161;Placa de induccion EcoWash Pro 3 zonas;Placas de induccion de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;EcoWash;Media;Negro;B;279.99;191.55;Central Electro Iberica;2024-11-09;Si;24;19.83
ART000164;COCPLA-00164;Placa de induccion NovaCasa Serie 5 4 zonas;Placas de induccion de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;NovaCasa;Media;Negro;B;259.99;167.02;Central Electro Iberica;2022-05-05;Si;36;26.85
ART000165;COCPLA-00165;Placa de induccion CleanBot Serie 3 3 zonas;Placas de induccion de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;CleanBot;Basica;Crema;C;489.99;275.7;IberHome Supply;2025-02-15;Si;36;18.91
ART000168;COCPLA-00168;Placa de induccion AireZen Pro 5 zonas;Placas de induccion de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;AireZen;Basica;Plata;B;659.99;368.11;Central Electro Iberica;2024-03-12;Si;36;15.85
ART000171;COCPLA-00171;Placa de induccion EcoWash Advance 4 zonas;Placas de induccion de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;EcoWash;Alta;Plata;D;519.99;353.55;Hogar Norte Distribucion;2024-08-12;Si;24;16.66
